ID_HOGAR,PC1,PC2
211,0.887622,-0.815346
212,0.692417,-0.361488
213,-2.500469,-1.709025
214,-2.239402,-0.722616
215,-2.155156,-2.854972
216,2.055166,-0.360543
217,0.625838,1.921703
218,-0.144611,-0.899277
219,0.670113,-0.626019
220,0.626946,1.481537
221,1.667442,0.228958
222,-0.010122,-0.463855
223,2.397807,-0.378801
224,0.886516,-0.144795
225,1.936410,-0.048140
226,-0.243449,0.903470
227,0.620115,1.303134
228,0.003768,-0.121732
229,0.824758,-1.047601
230,-0.765976,0.681945
231,1.399753,-0.311703
232,-1.572177,1.064397
233,1.655091,0.076799
234,0.907750,0.165389
235,1.902964,-0.491212
236,-1.951662,0.191535
237,-0.544667,-0.832300
238,-1.202135,-0.512277
239,-2.376605,-2.265276
240,0.064487,-0.746399
241,0.257287,-0.072821
242,-0.098010,-0.898764
243,-0.253650,0.427290
244,1.028859,-0.532381
245,2.018329,0.002081
246,0.159755,-0.742312
247,1.208227,1.041151
248,-0.892368,0.117242
249,0.706558,-0.289707
250,0.426085,-1.969296
251,-2.799154,-0.025988
252,-2.193039,-0.323656
253,0.126257,0.384970
254,0.543269,-0.519946
255,2.918582,-0.212651
256,-2.061455,0.087890
257,0.869178,-1.500010
258,0.683223,0.123947
259,-0.717168,-0.441721
260,-2.386466,-0.133979
261,0.553064,-0.500248
262,0.891797,-0.158747
263,0.486326,-0.303413
264,-1.287896,-0.412500
265,-1.538487,0.052202
266,1.507315,-0.518700
267,-2.788331,-1.917300
268,2.181920,0.229951
269,1.315904,0.112571
270,0.698808,1.158520
271,1.244403,0.832488
272,0.200710,-0.955685
273,1.705618,0.207147
274,1.875312,2.682617
275,1.116127,-0.901979
276,0.407675,-1.260915
277,-0.220054,-0.372300
278,1.518934,0.572304
279,1.205074,-0.680970
280,0.565013,0.621172
281,-1.437661,0.362376
282,0.881675,-1.216469
283,1.540632,0.251848
284,2.204156,-0.035834
285,-0.863083,-0.246706
286,-0.476758,-0.853458
287,1.926730,-0.874132
288,0.552537,1.767822
289,1.424506,-0.319737
290,1.491327,1.062104
291,0.443953,0.175848
292,1.036291,-1.361440
293,1.514519,-1.023365
294,1.763750,0.072712
295,0.444785,1.886025
296,2.705141,-0.863526
297,-0.981131,-0.442229
298,-1.344923,2.574287
299,-1.411573,2.424623
300,-0.417454,0.823334
301,1.294346,0.435950
302,0.754904,-0.657376
303,-0.358446,0.215694
304,0.324326,-0.596510
305,1.812805,0.014656
306,-0.433644,1.166337
307,-0.184153,1.495680
308,-2.350861,1.404711
309,-1.633891,0.754914
310,-0.972223,0.082298
311,0.256067,-0.422947
312,-0.198783,0.632111
313,0.378383,0.092005
314,1.295900,-0.430282
315,0.838660,3.528763
316,0.253309,1.147911
317,0.749732,1.165086
318,-0.467614,1.340592
319,-1.520120,0.343583
320,1.869336,0.655760
321,-2.629571,1.937568
322,-2.513826,2.610001
323,-2.138754,0.480989
324,1.473255,-0.671609
325,1.041178,-0.770636
326,-1.325969,-0.265822
327,0.775187,-1.356749
328,0.238363,0.047718
329,-0.078231,0.636099
330,-0.127095,-1.423436
331,-0.734062,-0.596820
332,0.429031,0.777031
333,-1.376939,1.293589
334,-1.889837,-0.020023
335,2.179968,-0.085582
336,1.739245,0.084151
337,-1.488910,0.960714
338,1.343783,-0.227809
339,1.475772,-0.473641
340,-1.022102,0.118586
341,-0.558592,0.978767
342,0.974656,-0.905475
343,-2.377930,0.822144
344,0.466081,-0.176049
345,0.431101,-0.283496
346,-0.852052,2.589111
347,0.525000,0.826079
348,1.397597,-0.180549
349,-1.831074,-0.373402
350,-0.518649,0.404375
351,-3.114099,0.177144
352,-0.166408,-0.141513
353,-0.891067,-0.443597
354,1.567420,0.285615
355,1.942099,0.207957
356,0.775201,0.031624
357,0.980494,0.210676
358,-2.202661,-1.412080
359,0.070369,0.044152
360,0.625098,1.473581
361,-0.771581,-1.645844
362,-1.172230,-0.375232
363,2.311968,-0.185539
364,0.377799,1.262599
365,-3.895634,0.568893
366,1.315741,-0.643583
367,0.736744,-0.297259
368,-4.212056,-1.354971
369,1.839797,-0.292369
370,-2.046983,1.538784
371,-2.019727,-1.947260
372,0.491172,-0.072493
373,-0.673875,1.293753
374,0.991990,5.963061
375,-1.069331,2.761633
376,-2.409931,-1.497362
377,-0.565615,-0.792065
378,-2.426659,-0.969487
379,0.706862,1.839199
380,0.707850,0.211008
381,1.672008,0.246036
382,0.383424,0.257295
383,0.500434,1.132333
384,-1.227464,-0.850202
385,-1.098803,1.555891
386,-0.030548,-0.722907
387,0.768445,-0.445944
388,-2.240402,-1.629737
389,1.750527,-0.467234
390,1.449400,-0.870145
391,0.638695,-1.381724
392,2.262216,-0.524185
393,-0.192930,-0.473738
394,-1.561050,-0.158011
395,0.644263,-1.029606
396,2.240985,-0.779536
397,1.167577,-0.170170
398,-0.219013,0.135250
399,0.791087,0.412115
400,0.299577,0.050063
401,-1.422524,0.630972
402,0.047499,-1.276720
403,-0.608143,-0.953959
404,-1.139147,-1.193620
405,0.934738,4.518592
406,-1.489658,-0.005021
407,1.136731,1.098023
408,1.625736,-0.093785
409,0.100321,1.775375
410,-1.856601,2.806665
411,-0.320568,2.110902
412,-0.101424,-0.129713
413,-1.039217,0.181567
414,-0.510139,-0.386530
415,-1.928912,0.399588
416,-2.148271,-0.449174
417,-0.321934,0.918946
418,-0.634283,1.113244
419,0.361728,0.812036
420,0.975736,-0.001675
421,-2.136107,-0.772526
422,0.546664,1.257855
423,0.391477,-0.089426
424,0.819218,-0.622108
425,-1.239298,-0.106872
426,-2.431389,-2.298536
427,-1.713610,-0.092576
428,0.701726,-0.540529
429,2.468346,0.390073
430,-0.755359,-0.766347
431,-0.018246,0.680709
432,-2.713544,0.897023
433,-0.204819,-0.695973
434,1.965134,-0.693613
435,-1.903803,0.280122
436,1.295708,1.013141
437,-2.766543,-1.703647
438,-3.544596,-1.124620
439,0.531175,0.653929
440,0.184370,-0.388081
441,-0.509700,0.590763
442,-0.152033,-0.107836
443,-1.894548,1.882956
444,-2.600446,-0.736727
445,-1.732746,1.117995
446,-0.887557,0.597505
447,0.928995,-0.837885
448,1.037979,-0.859627
449,-0.417321,-0.103606
450,1.924893,-0.750682
451,0.440502,-0.421170
452,0.361763,-0.335620
453,-1.127412,0.828346
454,0.631806,1.140554
455,0.292698,3.768585
456,0.953074,1.264596
457,0.652866,1.341838
458,-2.012802,-0.530645
459,-1.216471,-1.411933
460,-1.860893,0.095745
461,1.341879,-0.171596
462,2.337327,-0.799062
463,1.124237,-1.530643
464,-0.026247,-1.212849
465,-1.336041,-1.284637
466,-0.918804,-1.790475
467,0.606334,0.497769
468,0.440246,-0.780006
469,0.571402,-1.869950
470,1.826553,-0.756161
471,0.501056,-1.594205
472,1.756014,-0.343255
473,-0.315484,0.442992
474,-1.206923,-1.285059
475,-0.405124,-1.220163
476,0.265700,-1.020274
477,-2.323549,-1.635712
478,1.411585,-0.115455
479,-0.810016,-0.967499
480,-1.107623,1.783857
481,-3.289593,0.469927
482,-0.873670,-1.321238
483,-1.867267,-1.436122
484,-0.939721,-1.693812
485,0.300222,-1.194324
486,-0.949198,-0.764270
487,0.345925,-1.919472
488,-0.749972,-0.884893
489,1.055662,-0.788290
490,-1.643719,2.770913
491,-3.239250,-2.284797
492,-0.524219,-1.559874
493,-1.467701,-2.068163
494,-1.098819,0.137743
495,-1.393103,0.030257
496,-0.459324,0.116201
497,-1.142441,0.572721
498,-0.690443,-0.712551
499,-0.767722,-0.072538
500,-0.198296,-0.937498
501,0.721335,-0.459421
502,-1.862859,0.567104
503,2.264522,0.258245
504,2.013794,0.249189
505,-1.277202,-0.742795
506,0.503763,-0.079657
507,-0.890249,-2.388056
508,1.864891,-0.246151
509,-2.032093,-1.919657
510,-0.436382,1.507051
511,0.630474,1.902281
512,-0.880685,-0.885724
513,-0.839885,1.287241
514,0.910252,-0.036890
515,0.720504,1.625177
516,-1.279463,-0.992500
517,-1.032166,-0.929835
518,-0.380439,0.226478
519,0.891603,-1.936918
520,1.340012,2.685310
521,1.299271,2.552300
522,-1.137224,1.619787
523,0.532280,-1.202051
524,-0.621275,-0.152828
525,1.133212,0.104501
526,0.481830,-0.015251
527,-0.085953,0.745992
528,1.668432,-0.236564
529,0.410532,0.797772
530,1.125290,0.939863
531,1.407915,2.412095
532,1.801044,1.276945
533,-0.037247,-0.002432
534,-0.884601,-1.689049
535,-2.287292,1.166424
536,-1.845791,0.198749
537,-1.314455,-0.035615
538,-0.031033,0.584696
539,0.657765,0.131832
540,-0.702571,-1.463991
541,0.621712,-1.201201
542,0.623899,-0.802856
543,-0.645284,-1.096605
544,-4.024960,-2.281060
545,-2.049575,0.355794
546,0.250403,0.264460
547,0.370784,-0.478481
548,-1.797423,-1.805031
549,-0.227224,-0.930686
550,-0.626615,-0.234575
551,-0.519553,-0.435570
552,0.100404,0.540139
553,0.578857,-0.449642
554,-1.738357,0.476669
555,-0.341368,-0.366093
556,1.012462,0.877024
557,0.375033,0.573017
558,1.991374,-0.405488
559,1.468330,-0.592176
560,1.149551,-0.777475
561,0.290539,2.152884
562,0.999789,-0.598073
563,1.250016,-0.990701
564,0.666262,-0.778524
565,2.559382,-0.836287
566,0.598091,-0.918678
567,1.840967,-0.943652
568,2.683941,-1.352911
569,-1.276071,-0.489507
570,1.171381,-1.434996
571,0.182372,-0.655110
572,1.440806,-0.283160
573,1.129267,-1.353847
574,-0.406676,-1.611140
575,0.043678,-1.022606
576,2.450295,-1.194009
577,0.617428,-0.425897
578,0.920095,-1.169295
579,-0.660991,-0.683990
580,1.862995,1.154960
581,2.012107,-0.889444
582,-1.090759,-1.060241
583,-2.001674,-1.181971
584,1.471278,-0.662443
585,-0.106086,-1.785335
586,2.199565,-1.410609
587,2.039018,-1.025638
588,1.104130,-2.529944
589,2.146595,-1.130740
590,-0.244005,1.311959
591,-0.480462,-2.245389
592,0.984375,-2.313114
593,0.297211,-0.730020
594,2.208627,-1.046317
595,0.384075,-0.911197
596,0.621717,-0.870429
597,-0.925886,-1.038420
598,-0.193342,-0.121463
599,1.446945,-1.492234
600,1.063361,-1.275745
601,0.565152,-0.336014
602,-0.598737,-0.074878
603,-0.485908,0.238301
604,0.587401,-0.731690
605,0.404736,-0.260571
606,0.820682,-0.851496
607,0.184457,1.439992
608,0.715139,-0.774686
609,-0.275572,-0.326868
610,-1.712943,0.757698
611,0.063787,-1.015044
612,0.777027,0.079533
613,0.601099,-0.681821
614,-1.975273,-0.554081
615,2.442723,-0.824936
