ID_HOGAR,ID_GEOGRAFIA,MES_NUM,ID_POBREZA,Total_Miembros_Hogar,Factor_Expansion_Anual,Ingreso_Neto_Total_Hogar,Gasto_Total_Bruto_Hogar,Brecha_Monetaria_Hogar,Ingreso_Monetario_Per_Capita,Gasto_Monetario_Per_Capita,Brecha_Monetaria_Per_Capita,Logaritmo_Ingreso_Hogar,Logaritmo_Gasto_Hogar,Logaritmo_Brecha_Per_Capita,Gasto_Alimentos,Gasto_Vestido_Calzado,Gasto_Vivienda_Combustible_Electricidad,Gasto_Muebles_Enseres_Mantenimiento,Gasto_Salud_Servicios_Medicos,Gasto_Transportes_Comunicaciones,Gasto_Esparcimiento_Cultura_Ensenanza,Gasto_Otros_Bienes_Servicios,Porcentaje_Gasto_Alimentos,Porcentaje_Gasto_Vestido_Calzado,Porcentaje_Gasto_Vivienda_Combustible_Electricidad,Porcentaje_Gasto_Muebles_Enseres_Mantenimiento,Porcentaje_Gasto_Salud_Servicios_Medicos,Porcentaje_Gasto_Transportes_Comunicaciones,Porcentaje_Gasto_Esparcimiento_Cultura_Ensenanza,Porcentaje_Gasto_Otros_Bienes_Servicios,Tasa_Ahorro_Hogar,ID_SEGMENTO,PCA_VALIDO
27754,288,10,2,2,37.861412,16223.387695,10798.812500,5424.575195,8111.693848,5399.406250,2712.287598,9.694271,9.287284,7.905916,2737.593994,0.000000,1181.000000,199.244141,0.000000,108.000000,0.000000,155.637924,0.624800,0.000000,0.269500,0.045500,0.000000,0.024600,0.000000,0.035500,0.334368,1,1
27755,288,10,2,3,37.861412,21846.298828,20107.882812,1738.416016,7282.099609,6702.627604,579.472005,9.991833,9.908917,6.363842,6097.392578,639.791626,1666.000000,293.053253,1378.000000,900.000000,759.000000,212.830887,0.510400,0.053600,0.139500,0.024500,0.115400,0.075300,0.063500,0.017800,0.079575,2,1
27756,288,10,4,4,37.861412,28162.482422,29238.460938,-1075.978516,7040.620605,7309.615234,-268.994629,10.245781,10.283274,0.000000,20510.546875,200.000000,1122.000000,0.000000,200.000000,120.000000,879.000000,0.000000,0.890500,0.008700,0.048700,0.000000,0.008700,0.005200,0.038200,0.000000,-0.038206,3,1
27757,288,10,1,4,37.861412,70268.414062,34646.054688,35622.359375,17567.103516,8661.513672,8905.589844,11.160092,10.452968,9.094547,7993.639648,0.000000,1965.000000,636.285950,1297.000000,779.000000,5329.000000,0.000000,0.444100,0.000000,0.109200,0.035300,0.072100,0.043300,0.296100,0.000000,0.506947,1,1
27758,287,10,3,1,6.397315,28471.000000,28647.646484,-176.646484,28471.000000,28647.646484,-176.646484,10.256676,10.262861,0.000000,2360.069336,0.000000,1131.000000,115.251801,332.000000,4237.582520,1367.000000,153.699158,0.243400,0.000000,0.116600,0.011900,0.034200,0.437000,0.141000,0.015900,-0.006204,3,1
27759,287,10,1,1,6.397315,45051.191406,28614.755859,16436.435547,45051.191406,28614.755859,16436.435547,10.715577,10.261713,9.707317,1695.165771,0.000000,738.000000,4462.308594,184.000000,1059.373291,0.000000,368.438507,0.199300,0.000000,0.086700,0.524500,0.021600,0.124500,0.000000,0.043300,0.364839,1,1
27760,287,10,1,3,6.397315,36291.089844,33690.839844,2600.250000,12097.029948,11230.279948,866.750000,10.499355,10.425011,6.765904,13170.620117,1396.169678,869.000000,1474.779785,92.000000,815.000000,548.483765,1681.299194,0.657000,0.069600,0.043300,0.073600,0.004600,0.040700,0.027400,0.083900,0.071650,2,1
27761,287,10,1,2,6.397315,30320.736328,25233.347656,5087.388672,15160.368164,12616.673828,2543.694336,10.319620,10.135961,7.841766,1862.838501,236.263153,2655.000000,1264.421875,120.000000,1487.000000,732.664551,1062.118896,0.197700,0.025100,0.281800,0.134200,0.012700,0.157900,0.077800,0.112700,0.167786,1,1
27762,287,10,5,1,6.397315,4881.845215,4782.190430,99.654785,4881.845215,4782.190430,99.654785,8.493483,8.472863,4.611697,1342.550415,0.000000,286.000000,69.631294,0.000000,0.000000,0.000000,43.204514,0.771000,0.000000,0.164200,0.040000,0.000000,0.000000,0.000000,0.024800,0.020413,2,1
27763,287,10,1,3,6.397315,73958.250000,54112.832031,19845.417969,24652.750000,18037.610677,6615.139323,11.211270,10.898845,8.797267,13380.798828,767.955200,1465.000000,1106.682129,0.000000,5393.278320,2499.076660,1551.844971,0.511400,0.029400,0.056000,0.042300,0.000000,0.206100,0.095500,0.059300,0.268333,1,1
